,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0,1.3479124754667282,0.3875,0.23932459178624446,0.27404825687408446,0.125,0.027777777777777776
1,1,1.3265523463487625,0.375,0.26259469696969695,0.26800074577331545,0.125,0.027777777777777776
2,2,1.3061599135398865,0.375,0.286911094224924,0.261752724647522,0.125,0.027777777777777776
3,3,1.3006956428289413,0.39375,0.3046944444444445,0.25653395652770994,0.125,0.027777777777777776
4,4,1.2791068106889725,0.38125,0.2968614718614718,0.2514058589935303,0.125,0.027777777777777776
5,5,1.296057015657425,0.3875,0.29723268072289155,0.24895315170288085,0.125,0.027777777777777776
6,6,1.2854316979646683,0.4125,0.3126271186440678,0.24986917972564698,0.125,0.027777777777777776
7,7,1.2701716423034668,0.36875,0.24974874371859296,0.2491299629211426,0.125,0.027777777777777776
8,8,1.273724377155304,0.3875,0.26569319640564826,0.24930980205535888,0.125,0.027777777777777776
9,9,1.2776548713445663,0.375,0.23257885514018692,0.24889225959777833,0.125,0.027777777777777776
10,10,1.2679494768381119,0.375,0.22514602803738315,0.24942996501922607,0.125,0.027777777777777776
11,11,1.2750225067138672,0.39375,0.24237327188940094,0.24878549575805664,0.125,0.027777777777777776
12,12,1.2723270058631897,0.36875,0.20205479452054792,0.24952311515808107,0.125,0.027777777777777776
13,13,1.2682052254676819,0.375,0.20454545454545453,0.24938905239105225,0.125,0.027777777777777776
14,14,1.2604637891054153,0.375,0.20454545454545453,0.24963717460632323,0.125,0.027777777777777776
15,15,1.2689375430345535,0.39375,0.24237327188940094,0.25038514137268064,0.125,0.027777777777777776
16,16,1.2608987540006638,0.36875,0.20391705069124422,0.24973392486572266,0.125,0.027777777777777776
17,17,1.2513975650072098,0.38125,0.22725038402457756,0.24997515678405763,0.125,0.027777777777777776
18,18,1.2559928447008133,0.375,0.21491346955796495,0.24914395809173584,0.125,0.027777777777777776
19,19,1.2613277435302734,0.39375,0.24237327188940094,0.24935588836669922,0.125,0.027777777777777776
20,20,1.2436064034700394,0.39375,0.24237327188940094,0.24860873222351074,0.125,0.027777777777777776
21,21,1.2482370436191559,0.375,0.20454545454545453,0.24882466793060304,0.125,0.027777777777777776
22,22,1.2497891634702682,0.4,0.261317907444668,0.24808015823364257,0.125,0.027777777777777776
23,23,1.2417070716619492,0.3875,0.24702102803738316,0.24644572734832765,0.125,0.027777777777777776
24,24,1.2363440692424774,0.4125,0.2822264150943396,0.24523801803588868,0.125,0.027777777777777776
25,25,1.2349510490894318,0.4,0.26118622804572067,0.24712815284729003,0.125,0.027777777777777776
26,26,1.2317808270454407,0.4125,0.28138736263736264,0.24718825817108153,0.125,0.027777777777777776
27,27,1.2178725749254227,0.44375,0.3255324543610548,0.24665696620941163,0.125,0.027777777777777776
28,28,1.1983831822872162,0.475,0.3735131786438387,0.2424241304397583,0.125,0.027777777777777776
29,29,1.1920274049043655,0.4875,0.38128519936922733,0.23965582847595215,0.125,0.027777777777777776
30,30,1.2175129801034927,0.46875,0.3613067855089132,0.2410637378692627,0.125,0.027777777777777776
31,31,1.175317257642746,0.45625,0.34957754010695186,0.23865299224853515,0.25,0.23125
32,32,1.1826098561286926,0.48125,0.3696070234113712,0.23490531444549562,0.25,0.23125
33,33,1.2041949480772018,0.4875,0.3784108527131783,0.2369536876678467,0.25,0.23125
34,34,1.1848948895931244,0.45625,0.35012450715916166,0.23763613700866698,0.25,0.23125
35,35,1.1799261718988419,0.4875,0.381838905775076,0.22665653228759766,0.5,0.47023809523809523
36,36,1.1723190248012543,0.49375,0.3868104600114526,0.2283242464065552,0.5,0.47023809523809523
37,37,1.1538743525743484,0.50625,0.39748157248157245,0.2295602560043335,0.5,0.47023809523809523
38,38,1.1320199221372604,0.50625,0.39447890818858566,0.22294797897338867,0.5,0.47023809523809523
39,39,1.1591212525963783,0.51875,0.4057692307692308,0.2227013111114502,0.5,0.47023809523809523
40,40,1.1447194069623947,0.49375,0.38626680522179646,0.21799631118774415,0.5,0.47023809523809523
41,41,1.1529710292816162,0.5,0.38940493468795356,0.21893458366394042,0.5,0.47023809523809523
42,42,1.0952239707112312,0.5125,0.4006074168797954,0.2157520055770874,0.5,0.47023809523809523
43,43,1.1296845152974129,0.54375,0.4328790058301261,0.21202409267425537,0.625,0.55
44,44,1.1009785681962967,0.5,0.3898540620933259,0.21791448593139648,0.5,0.47023809523809523
45,45,1.0745976269245148,0.50625,0.4016847049213805,0.2140352725982666,0.5,0.47023809523809523
46,46,1.0711860954761505,0.5125,0.4023998181463922,0.20683231353759765,0.625,0.55
47,47,1.1125335320830345,0.5,0.39055586540249115,0.2015101671218872,0.625,0.55
48,48,1.0285933539271355,0.575,0.4584403820816864,0.20701780319213867,0.625,0.55
49,49,1.0775972828269005,0.54375,0.4249297094657919,0.20801615715026855,0.5,0.47023809523809523
50,50,1.1162617057561874,0.45,0.3474370779619398,0.21195080280303955,0.5,0.47023809523809523
51,51,1.000626154243946,0.54375,0.4443444683100176,0.1972116470336914,0.625,0.55
52,52,0.9933731481432915,0.575,0.4760150509721452,0.18826608657836913,0.625,0.55
53,53,1.022158183157444,0.56875,0.4858755827505828,0.1851873517036438,0.625,0.55
54,54,1.0252951011061668,0.54375,0.4577540106951871,0.19582346677780152,0.625,0.55
55,55,1.0175085216760635,0.55625,0.45242290087340964,0.19899545907974242,0.5,0.47857142857142854
56,56,1.0118912160396576,0.54375,0.46283015364619595,0.18691521883010864,0.625,0.55
57,57,0.9646114781498909,0.58125,0.5011722788825426,0.18109240531921386,0.625,0.55
